Categoría: Todas las categorías — DATOS SINTÉTICOS DE EJEMPLO (no son de Google Trends)

Mes,Python: (Todo el mundo),JavaScript: (Todo el mundo),R: (Todo el mundo),C++: (Todo el mundo),PHP: (Todo el mundo),Java: (Todo el mundo)
2004-01,15,43,12,31,58,74
2004-02,17,43,8,29,59,74
2004-03,18,40,11,33,57,75
2004-04,18,41,8,32,59,73
2004-05,16,42,8,31,57,73
2004-06,16,42,9,32,56,71
2004-07,19,43,12,29,59,74
2004-08,17,42,12,32,59,72
2004-09,20,44,11,32,58,74
2004-10,19,44,9,31,58,72
2004-11,18,44,12,32,56,72
2004-12,19,45,12,31,56,69
2005-01,18,44,14,32,56,69
2005-02,20,46,13,32,57,71
2005-03,20,46,12,31,55,72
2005-04,22,42,13,33,57,72
2005-05,22,44,12,31,54,73
2005-06,21,43,12,31,55,69
2005-07,21,45,12,31,53,69
2005-08,20,45,13,32,56,72
2005-09,21,46,13,28,53,67
2005-10,23,44,9,31,54,67
2005-11,21,45,11,29,55,69
2005-12,22,45,9,29,54,68
2006-01,21,47,12,29,54,71
2006-02,21,43,11,32,52,69
2006-03,24,46,11,33,55,68
2006-04,23,46,12,31,53,69
2006-05,22,45,14,32,53,69
2006-06,24,48,13,29,52,66
2006-07,26,44,14,32,53,66
2006-08,27,48,13,29,52,67
2006-09,24,47,12,28,51,68
2006-10,25,46,12,32,54,65
2006-11,25,46,15,31,52,66
2006-12,27,48,14,29,54,67
2007-01,26,49,12,31,49,65
2007-02,28,46,14,31,53,66
2007-03,26,46,14,31,53,68
2007-04,26,47,11,27,49,67
2007-05,29,49,12,29,52,65
2007-06,28,46,11,28,53,66
2007-07,31,47,12,31,52,63
2007-08,29,46,12,31,48,64
2007-09,32,47,12,27,49,66
2007-10,28,49,13,32,52,64
2007-11,28,48,12,29,47,63
2007-12,33,47,14,28,48,63
2008-01,33,51,15,27,48,65
2008-02,33,48,14,29,48,64
2008-03,31,47,12,28,52,64
2008-04,32,49,15,28,48,63
2008-05,31,51,15,28,48,64
2008-06,33,49,13,26,47,62
2008-07,33,47,12,29,47,64
2008-08,33,51,12,28,49,61
2008-09,35,48,15,31,49,62
2008-10,32,49,16,27,49,61
2008-11,36,47,13,31,49,64
2008-12,36,51,15,27,47,61
2009-01,35,51,13,26,49,63
2009-02,35,51,15,28,46,61
