Categoría: Todas las categorías — DATOS SINTÉTICOS DE EJEMPLO (no son de Google Trends)

Mes,Python: (Todo el mundo),JavaScript: (Todo el mundo),R: (Todo el mundo),C++: (Todo el mundo),PHP: (Todo el mundo),Java: (Todo el mundo)
2004-01,5,9,2,4,5,4
2004-02,6,5,1,6,5,7
2004-03,4,7,1,4,5,2
2004-04,5,6,4,4,2,5
2004-05,6,5,2,2,1,4
2004-06,4,6,2,5,5,6
2004-07,9,5,1,2,1,5
2004-08,6,5,5,6,1,2
2004-09,4,7,4,1,1,5
2004-10,5,4,1,2,2,4
2004-11,6,5,1,2,6,4
2004-12,6,6,1,4,1,4
2005-01,7,7,1,2,6,2
2005-02,7,9,1,5,2,2
2005-03,5,5,2,4,5,6
2005-04,4,5,4,1,6,6
2005-05,5,5,1,4,2,2
2005-06,5,5,1,4,5,6
2005-07,6,7,2,4,2,6
2005-08,9,9,2,1,1,6
2005-09,9,6,5,6,5,4
2005-10,6,5,2,4,1,4
2005-11,5,6,4,5,2,5
2005-12,7,5,1,4,2,6
2006-01,5,7,1,4,4,7
2006-02,9,7,4,1,2,5
2006-03,9,7,1,2,6,5
2006-04,7,7,4,5,5,4
2006-05,4,9,1,2,4,7
2006-06,5,5,4,2,4,4
2006-07,4,9,4,1,1,4
2006-08,5,9,1,2,2,5
2006-09,9,6,5,4,4,6
2006-10,6,6,2,2,4,2
2006-11,5,7,1,2,2,4
2006-12,4,5,2,5,5,2
2007-01,7,5,1,4,5,6
2007-02,9,4,1,4,1,2
2007-03,5,6,1,1,2,6
2007-04,6,9,2,6,4,5
2007-05,6,4,1,5,5,2
2007-06,5,5,1,5,2,4
2007-07,6,9,1,5,1,5
2007-08,9,5,1,5,4,5
2007-09,6,7,1,2,4,5
2007-10,6,7,2,4,5,7
2007-11,5,7,1,5,1,5
2007-12,6,7,5,5,4,5
2008-01,4,6,2,5,2,5
2008-02,5,7,4,4,5,6
2008-03,6,5,4,4,2,5
2008-04,9,10,2,6,2,5
2008-05,5,6,5,2,5,6
2008-06,11,10,1,4,6,5
2008-07,7,10,4,4,5,6
2008-08,9,9,1,5,6,6
2008-09,11,7,1,2,6,5
2008-10,10,10,4,5,4,9
2008-11,10,11,1,6,2,6
