"Time","Python","JavaScript","Java","PHP","C++","R"
"2004-01-01",5,42,95,40,22,4
"2004-02-01",5,44,91,46,22,4
"2004-03-01",4,42,95,44,22,4
"2004-04-01",5,42,94,46,23,3
"2004-05-01",4,44,99,45,22,4
"2004-06-01",5,42,88,41,19,4
"2004-07-01",5,42,90,42,16,4
"2004-08-01",5,35,91,41,15,4
"2004-09-01",4,38,83,40,16,5
"2004-10-01",6,36,90,40,18,4
"2004-11-01",5,37,97,38,20,4
"2004-12-01",5,35,100,37,18,5
"2005-01-01",5,34,99,37,16,5
"2005-02-01",5,36,95,40,16,5
"2005-03-01",4,32,92,38,17,4
"2005-04-01",4,31,92,37,16,4
"2005-05-01",5,35,91,37,17,5
"2005-06-01",5,38,87,36,14,5
"2005-07-01",5,32,72,35,11,4
"2005-08-01",5,28,65,32,11,5
"2005-09-01",4,29,71,33,11,5
"2005-10-01",5,30,78,33,14,5
"2005-11-01",4,31,83,32,16,5
"2005-12-01",4,26,76,32,12,5
"2006-01-01",4,26,75,32,12,5
"2006-02-01",4,28,72,33,12,4
"2006-03-01",4,26,74,27,13,5
"2006-04-01",4,28,66,29,11,5
"2006-05-01",4,27,73,29,13,4
"2006-06-01",4,25,62,26,10,5
"2006-07-01",5,23,59,26,9,5
"2006-08-01",4,21,56,27,8,5
"2006-09-01",4,21,58,26,8,5
"2006-10-01",4,22,64,27,11,5
"2006-11-01",4,22,73,25,13,5
"2006-12-01",4,21,63,24,10,5
"2007-01-01",4,21,65,24,10,5
"2007-02-01",4,23,64,27,10,6
"2007-03-01",4,21,63,26,10,6
"2007-04-01",3,21,61,24,9,6
"2007-05-01",5,21,60,27,10,5
"2007-06-01",4,20,56,23,8,5
"2007-07-01",4,20,53,23,7,5
"2007-08-01",4,17,52,23,7,5
"2007-09-01",5,18,50,22,7,6
"2007-10-01",4,20,61,24,10,6
"2007-11-01",5,21,63,26,11,6
"2007-12-01",4,16,49,18,8,6
"2008-01-01",4,17,54,20,8,6
"2008-02-01",4,18,51,22,8,6
"2008-03-01",4,18,53,19,8,6
"2008-04-01",4,18,56,21,9,6
"2008-05-01",4,17,52,22,8,6
"2008-06-01",4,16,45,19,7,6
"2008-07-01",4,17,48,18,6,5
"2008-08-01",3,15,42,18,5,6
"2008-09-01",4,15,47,17,6,6
"2008-10-01",4,19,52,21,9,7
"2008-11-01",4,17,51,19,9,6
"2008-12-01",4,15,44,17,8,7
"2009-01-01",4,16,47,18,7,7
"2009-02-01",4,19,50,22,8,6
"2009-03-01",4,19,50,20,8,6
"2009-04-01",4,17,49,19,8,5
"2009-05-01",4,18,47,20,8,5
"2009-06-01",4,16,43,17,7,5
"2009-07-01",4,15,40,18,6,5
"2009-08-01",4,13,38,16,5,5
"2009-09-01",4,14,42,17,6,5
"2009-10-01",4,15,47,18,8,5
"2009-11-01",4,16,48,19,8,5
"2009-12-01",4,13,39,16,8,5
