"Time","Python","JavaScript","Java","PHP","C++","R"
"2008-01-01",7,19,13,0,0,15
"2008-02-01",8,21,10,0,0,19
"2008-03-01",6,15,10,0,0,14
"2008-04-01",8,17,10,0,0,15
"2008-05-01",6,15,8,0,0,12
"2008-06-01",5,21,9,0,0,13
"2008-07-01",0,15,11,0,0,11
"2008-08-01",4,12,6,0,0,10
"2008-09-01",7,21,9,0,0,7
"2008-10-01",4,12,13,0,0,9
"2008-11-01",6,10,12,4,0,7
"2008-12-01",0,12,8,0,0,8
"2009-01-01",4,11,16,0,0,8
"2009-02-01",6,13,14,0,0,9
"2009-03-01",4,14,14,4,0,9
"2009-04-01",4,12,10,0,0,8
"2009-05-01",3,10,10,3,3,5
"2009-06-01",0,11,8,0,0,7
"2009-07-01",0,11,8,0,0,7
"2009-08-01",5,12,11,4,0,9
"2009-09-01",4,10,8,3,3,3
"2009-10-01",3,11,12,4,4,6
"2009-11-01",4,12,10,4,4,8
"2009-12-01",0,9,11,3,0,6
"2010-01-01",4,9,9,3,3,9
"2010-02-01",2,10,13,5,3,7
"2010-03-01",3,8,11,4,4,5
"2010-04-01",3,7,14,4,3,9
"2010-05-01",3,7,10,4,2,6
"2010-06-01",4,8,13,3,2,6
"2010-07-01",3,6,15,3,3,6
"2010-08-01",2,6,16,2,0,8
"2010-09-01",3,7,13,4,5,5
"2010-10-01",4,7,11,4,5,6
"2010-11-01",4,7,14,5,5,5
"2010-12-01",4,9,14,5,4,7
"2011-01-01",4,6,14,4,3,6
"2011-02-01",3,6,14,6,4,5
"2011-03-01",4,6,13,4,3,5
"2011-04-01",4,6,14,4,3,5
"2011-05-01",4,6,12,4,2,6
"2011-06-01",5,5,13,3,3,6
"2011-07-01",5,4,14,5,4,4
"2011-08-01",5,5,12,4,2,7
"2011-09-01",5,4,14,3,3,6
"2011-10-01",4,5,16,5,4,6
"2011-11-01",4,5,17,5,6,4
"2011-12-01",4,3,17,5,5,9
"2012-01-01",4,5,18,6,4,7
"2012-02-01",5,6,21,4,4,7
"2012-03-01",6,6,21,6,3,9
"2012-04-01",6,6,22,6,3,7
"2012-05-01",5,6,22,6,5,6
"2012-06-01",3,7,21,5,4,6
"2012-07-01",6,7,23,6,5,8
"2012-08-01",5,6,22,5,4,6
"2012-09-01",5,6,23,6,4,6
"2012-10-01",7,7,30,8,7,7
"2012-11-01",6,7,25,7,8,9
"2012-12-01",6,6,21,4,6,6
"2013-01-01",7,8,30,8,8,8
"2013-02-01",6,8,29,8,5,8
"2013-03-01",6,8,32,6,6,8
"2013-04-01",5,8,34,9,7,6
"2013-05-01",7,8,35,9,6,8
"2013-06-01",6,7,30,9,5,7
"2013-07-01",6,7,38,6,5,8
"2013-08-01",6,7,33,7,5,7
"2013-09-01",7,7,35,7,8,6
"2013-10-01",8,8,35,8,7,9
"2013-11-01",8,8,36,6,10,4
"2013-12-01",7,6,34,7,6,9
"2014-01-01",9,8,39,9,10,8
"2014-02-01",7,11,33,10,9,10
"2014-03-01",10,10,40,7,9,5
"2014-04-01",7,8,39,9,7,8
"2014-05-01",6,10,32,6,6,11
"2014-06-01",9,8,33,8,9,7
"2014-07-01",8,10,34,8,7,9
"2014-08-01",8,9,36,7,7,8
"2014-09-01",11,9,39,8,8,7
"2014-10-01",10,11,41,8,14,9
"2014-11-01",7,10,42,11,14,7
"2014-12-01",10,13,38,9,12,10
"2015-01-01",10,12,42,9,16,8
"2015-02-01",11,13,48,10,12,9
"2015-03-01",11,14,42,10,10,10
"2015-04-01",13,12,43,10,10,8
"2015-05-01",10,14,49,7,10,11
"2015-06-01",9,13,45,9,9,8
"2015-07-01",14,14,45,8,8,9
"2015-08-01",13,11,44,8,6,10
"2015-09-01",12,13,49,12,13,8
"2015-10-01",17,18,54,11,14,10
"2015-11-01",14,14,49,11,14,11
"2015-12-01",12,9,43,11,12,8
"2016-01-01",15,16,48,11,15,7
"2016-02-01",18,19,52,9,11,12
"2016-03-01",16,15,46,10,12,12
"2016-04-01",15,15,47,13,10,10
"2016-05-01",14,15,42,11,11,10
"2016-06-01",15,16,42,9,14,9
"2016-07-01",13,16,38,10,14,11
"2016-08-01",13,12,35,11,10,8
"2016-09-01",17,17,49,13,9,11
"2016-10-01",20,19,52,10,19,11
"2016-11-01",20,21,47,12,18,11
"2016-12-01",23,18,47,9,19,13
"2017-01-01",0,0,0,0,0,0
"2017-02-01",0,0,0,0,0,0
"2017-03-01",0,0,0,0,0,0
"2017-04-01",0,0,0,0,0,0
"2017-05-01",0,0,0,0,0,0
"2017-06-01",0,0,0,0,0,0
"2017-07-01",0,0,0,0,0,0
"2017-08-01",9,7,15,4,4,5
"2017-09-01",11,8,19,5,6,4
"2017-10-01",13,10,23,6,10,4
"2017-11-01",13,10,24,7,12,5
"2017-12-01",11,9,21,6,9,5
"2018-01-01",11,10,22,7,10,5
"2018-02-01",13,10,22,8,8,5
"2018-03-01",14,10,18,7,7,5
"2018-04-01",11,10,18,7,7,5
"2018-05-01",11,10,20,7,7,6
"2018-06-01",11,9,15,5,6,4
"2018-07-01",11,8,13,5,5,3
"2018-08-01",11,8,12,4,4,3
"2018-09-01",12,10,15,5,7,4
"2018-10-01",15,11,23,7,10,4
"2018-11-01",15,10,20,7,12,5
"2018-12-01",13,9,16,5,10,5
"2019-01-01",15,11,18,5,10,5
"2019-02-01",15,12,21,7,8,5
"2019-03-01",14,11,18,5,7,6
"2019-04-01",15,11,16,6,6,5
"2019-05-01",25,18,27,11,12,7
"2019-06-01",41,32,41,15,17,9
"2019-07-01",43,31,40,14,14,9
"2019-08-01",25,18,27,9,10,5
"2019-09-01",30,13,27,9,13,7
"2019-10-01",32,18,39,14,13,9
"2019-11-01",31,17,46,13,18,8
"2019-12-01",36,16,37,11,11,9
"2020-01-01",32,22,37,10,12,9
"2020-02-01",34,21,40,11,12,6
"2020-03-01",38,20,33,9,10,10
"2020-04-01",43,21,38,11,14,11
"2020-05-01",26,12,21,8,7,3
"2020-06-01",20,11,18,6,6,3
"2020-07-01",18,9,13,7,4,6
"2020-08-01",22,11,14,5,5,11
"2020-09-01",18,12,17,5,5,9
"2020-10-01",25,15,28,8,9,10
"2020-11-01",24,16,25,9,9,5
"2020-12-01",23,12,18,7,6,4
"2021-01-01",25,14,21,7,9,5
"2021-02-01",26,16,22,7,7,5
"2021-03-01",30,18,24,7,8,5
"2021-04-01",29,17,20,8,6,5
"2021-05-01",26,16,25,8,7,5
"2021-06-01",27,16,19,7,5,4
"2021-07-01",26,14,16,5,5,4
"2021-08-01",23,11,19,5,6,4
"2021-09-01",25,17,21,7,6,5
"2021-10-01",34,18,31,8,9,5
"2021-11-01",32,18,30,10,10,3
"2021-12-01",28,14,24,7,8,4
"2022-01-01",28,16,23,8,9,4
"2022-02-01",28,23,28,9,7,11
"2022-03-01",32,19,26,9,9,7
"2022-04-01",31,21,25,10,9,4
"2022-05-01",34,25,32,9,10,5
"2022-06-01",35,24,27,7,9,4
"2022-07-01",34,20,35,5,6,3
"2022-08-01",31,20,42,5,7,3
"2022-09-01",39,24,48,7,11,6
"2022-10-01",50,28,50,10,15,7
"2022-11-01",52,31,49,12,15,12
"2022-12-01",44,25,36,9,12,25
"2023-01-01",51,30,39,10,11,18
"2023-02-01",53,35,39,10,10,12
"2023-03-01",49,33,36,10,10,12
"2023-04-01",47,31,35,9,7,14
"2023-05-01",46,30,38,10,7,13
"2023-06-01",39,29,34,8,7,12
"2023-07-01",36,26,29,7,6,11
"2023-08-01",34,24,31,6,5,11
"2023-09-01",44,29,37,7,8,13
"2023-10-01",49,32,46,10,10,12
"2023-11-01",51,32,47,10,10,10
"2023-12-01",44,27,36,8,8,6
"2024-01-01",47,31,50,9,8,7
"2024-02-01",48,33,57,11,9,7
"2024-03-01",49,31,63,9,8,7
"2024-04-01",55,35,61,10,6,9
"2024-05-01",46,28,62,10,7,7
"2024-06-01",41,24,80,7,7,8
"2024-07-01",34,20,78,5,5,7
"2024-08-01",33,19,68,4,5,7
"2024-09-01",45,23,58,7,7,7
"2024-10-01",48,24,60,9,9,7
"2024-11-01",42,22,58,7,7,7
"2024-12-01",36,19,51,5,7,5
"2025-01-01",40,21,53,7,6,4
"2025-02-01",45,28,66,7,7,5
"2025-03-01",38,21,67,6,5,5
"2025-04-01",33,16,80,4,5,4
"2025-05-01",31,16,77,5,5,4
"2025-06-01",29,13,61,4,5,4
"2025-07-01",26,13,60,3,4,4
"2025-08-01",22,11,53,3,3,4
"2025-09-01",27,13,49,3,5,5
"2025-10-01",33,14,72,4,6,5
"2025-11-01",32,15,87,5,6,6
"2025-12-01",30,12,92,4,5,4
"2026-01-01",32,13,100,3,5,3
"2026-02-01",35,14,77,3,4,6
